IoC,Type
example.xyz,Domain
eohsdnsaaojrhnqo.windowshost.us,Domain
facebookmessages.serveuser.com,Domain
facebooktie.faqserv.com,Domain
hawler.duckdns.org,Domain
hunchoooof.2waky.com,Domain
jhssales.dynamic-dns.net,Domain
juyhtrdwski.sexidude.com,Domain
kjuhygtrfdewsa.onedumb.com,Domain
mail.bsabshjlinacafs.serveuser.com,Domain
mail.facebookmessages.serveuser.com,Domain
mail.guyyyeyb.youdontcare.com,Domain
mail.inlinkedlnmessagesdigiter.serveuser.com,Domain
mail.jhdfgdjkdg.dynamic-dns.net,Domain
mail.jhuyghft.dynamic-dns.net,Domain
mail.juyhtrdwski.sexidude.com,Domain
mail.kasawaraswgu.yourtrap.com,Domain
mail.mnfdxcvbn.cleansite.info,Domain
mail.ohssbxxwaqmbccxk.x24hr.com,Domain
mail.oiytiuopiuy.almostmy.com,Domain
mail.roboroboo.dumb1.com,Domain
mail.rywrhsg.dns05.com,Domain
mail.sdhgdfth.zzux.com,Domain
mail.snhyjhakua.x24hr.com,Domain
mangersales.zyns.com,Domain
nmjvutdwrw.dns04.com,Domain
saqwijfde4ojhbyvubi.b0tnet.com,Domain
servercheck.zyns.com,Domain
supplypurchase.dns04.com,Domain
tradefaregoods.dns04.com,Domain
ukyudrst.zyns.com,Domain
www.dxfcvhhgfgcv.dnsfailover.net,Domain
www.gartytrgfredsw.sexidude.com,Domain
www.gatasawatoyo.dumb1.com,Domain
www.hgtgerfdrty.onedumb.com,Domain
www.hunchifigkf.wikaba.com,Domain
www.hunchooo.zzux.com,Domain
www.incxzsdcuuwqag.serveuser.com,Domain
www.inlinkedlnmessagesdigiter.serveuser.com,Domain
www.jhdfgdjkdg.dynamic-dns.net,Domain
www.jhuyghft.dynamic-dns.net,Domain
www.jnhbvgcfxdzsdzdsxd.dns2.us,Domain
www.juyhtrdwski.sexidude.com,Domain
www.kbbkbkuu.dynamic-dns.net,Domain
www.linkedlndeed.fartit.com,Domain
www.marketingadmin.port25.biz,Domain
www.mnjgyutjfo.longmusic.com,Domain
www.mssjhgwe.toh.info,Domain
www.servercheck.zyns.com,Domain
www.sxdfcghvjhbkkredirec.serveusers.com,Domain
www.uqjswjwswsjwsh.serveuser.com,Domain
www.uytresgfgh.changeip.co,Domain
1877.krd,Domain
1877.team,Domain
4567987654345265.tk,Domain
asadohostma.cf,Domain
asadohostma.tk,Domain
balotelaras.gq,Domain
bjigcdrfbbcx.ml,Domain
bjigcdrfbbcx.tk,Domain
bruthoosbxyxio.gq,Domain
bsidbxiooohzu.ga,Domain
bsidbxiooohzu.gq,Domain
bsidbxiooohzu.ml,Domain
buhgdkurd444.ga,Domain
coalermallwive.ga,Domain
forever0g.tk,Domain
ghiiidueebsxiis.ml,Domain
ghiiidueebsxiis.tk,Domain
hsushzidooonsnx.gq,Domain
htetryfugyioiyut.ml,Domain
huncho.ml,Domain
jfueytg7yghg.ga,Domain
jihugkyfjtdsrytsrd.cf,Domain
jihugkyfjtdsrytsrd.gq,Domain
makolo.ml,Domain
oiuryhgyefdter.gq,Domain
salogo.gq,Domain
steetdre6iazwed.tk,Domain
stiwebbro.ml,Domain
stupuviijvftuiu.cf,Domain
tgfr43e98uj43ef.ml,Domain
torontos.ga,Domain
unconditional.gq,Domain
vanuboutst.cf,Domain
vanuboutst.ml,Domain
wpojgbjffy444.cf,Domain
yjksvjdbjdbjjda.cf,Domain
yjksvjdbjdbjjda.ga,Domain
yjksvjdbjdbjjda.ml,Domain
yjksvjdbjdbjjda.tk,Domain
shop.1877.team,Domain
social.1877.team,Domain
tools.1877.team,Domain
tube.1877.team,Domain
www.4567987654345265.tk,Domain
www.asadohostma.cf,Domain
www.asadohostma.tk,Domain
www.balotelaras.gq,Domain
www.bjigcdrfbbcx.ml,Domain
www.bjigcdrfbbcx.tk,Domain
www.bruthoosbxyxio.gq,Domain
www.bruthoosbxyxio.tk,Domain
www.bsidbxiooohzu.ga,Domain
www.bsidbxiooohzu.gq,Domain
www.buhgdkurd444.ga,Domain
www.coalermallwive.ga,Domain
www.forever0g.tk,Domain
www.ghiiidueebsxiis.ml,Domain
www.hawler.duckdns.org,Domain
www.hsushzidooonsnx.gq,Domain
